ID,UUID,Satisfaction,Trust/Confidence,Effectiveness/Quality,UserGroup,Years,Region,Ease/Simplicity,Efficiency/Speed,Equity/Transparency,Helpfulness,FreeText,Created At,Page,Referrer,User Agent
2023-08-27_17:35:06-90,629bf573-9308-,5,5,5,Group5,4-5 years,Region5,5,5,5,4,,2022-03-19 19:58:21 UTC,/contact/,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-91,517ff997-eacd-,4,4,4,Group4,3-4 years,Region4,1,1,1,1,,2022-03-19 19:59:11 UTC,nan,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-92,42896acd-689c-,4,4,4,Group5,3-4 years,Region4,4,5,3,3,,2022-03-19 20:01:33 UTC,nan,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-93,d336120f-4990-,4,5,3,Group4,3-4 years,Region5,2,2,1,2,,2022-03-19 20:03:10 UTC,nan,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-94,9fde5041-bdb0-,5,4,4,Group3,2-3 years,Region4,2,2,2,2,,2022-03-19 20:03:20 UTC,nan,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-95,287286f4-b22b-,4,5,5,Group4,2-3 years,Region4,3,2,3,2,,2022-03-19 20:03:40 UTC,nan,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-96,393d6e23-7c41-,4,4,4,Group4,1-2 years,Region4,4,5,2,4,,2022-03-19 20:04:21 UTC,nan,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-97,c0bc1041-590c-,4,5,4,Group3,2-3 years,Region3,3,4,4,2,,2022-03-19 20:04:29 UTC,nan,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-98,009c360c-5f61-,4,4,4,Group3,1-2 years,Region3,3,2,2,3,,2022-03-19 20:04:44 UTC,nan,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-99,9d8218e7-3e3e-,3,4,4,Group3,1-2 years,Region3,2,2,2,2,,2022-03-19 20:04:51 UTC,nan,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-100,4a918652-4c0f-,4,4,3,Group1,2-3 years,Region2,1,2,2,3,,2022-03-19 20:04:55 UTC,nan,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-101,1bcf7ae7-e57b-,4,5,4,Group4,4-5 years,Region3,5,2,4,4,,2022-03-19 20:05:56 UTC,nan,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-102,0d20638f-9690-,3,1,3,Group3,2-3 years,Region3,2,2,2,2,,2022-03-19 20:06:47 UTC,nan,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-103,b1ffbc49-89a6-,4,4,3,Group4,3-4 years,Region4,2,4,2,2,,2022-03-19 20:07:13 UTC,/contact/,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-104,dde28e08-fd44-,4,4,3,Group4,2-3 years,Region4,3,4,3,3,,2022-03-19 20:07:27 UTC,/contact/,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-105,166b0271-b777-,3,4,3,Group3,3-4 years,Region3,2,1,1,2,,2022-03-19 20:07:31 UTC,/contact/,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-106,6df34d45-2541-,5,4,4,Group3,2-3 years,Region4,4,4,3,2,,2022-03-19 20:07:57 UTC,/contact/,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-107,86082eb3-53da-,3,3,3,Group4,1-2 years,Region4,2,3,3,3,,2022-03-19 20:08:05 UTC,/contact/,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-108,9bc9f72d-107a-,4,4,4,Group3,2-3 years,Region4,2,2,1,2,,2022-03-19 20:08:15 UTC,/contact/,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-109,41174184-72c1-,5,5,4,Group4,3-4 years,Region4,4,5,4,4,,2022-03-19 20:08:29 UTC,/contact/,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-110,a1b13fd5-eec7-,3,4,2,Group3,3-4 years,Region3,3,3,3,3,,2022-03-19 20:10:51 UTC,/contact/,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-111,3371f212-e0b1-,4,4,3,Group3,2-3 years,Region3,2,3,3,3,,2022-03-19 20:11:06 UTC,/contact/,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-112,8da67b28-e70b-,4,4,4,Group4,3-4 years,Region4,3,3,3,3,,2022-03-19 20:11:31 UTC,/contact/,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-113,7f4bee94-465e-,4,4,4,Group3,3-4 years,Region3,3,2,2,2,,2022-03-21 09:05:32 UTC,/contact/,nan,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36"
2023-08-27_17:35:06-114,697ea6d7-e078-,3,4,4,Group3,2-3 years,Region2,2,2,2,3,,2022-03-22 15:09:53 UTC,/contact/,https://resources.beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36"
2023-08-27_17:35:06-115,4bdb9bd9-a16b-,3,5,4,Group3,1-2 years,Region3,2,2,3,1,,2022-03-22 16:26:33 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36 Edg/99.0.1150.46"
2023-08-27_17:35:06-116,998c0477-eff2-,5,3,3,Group2,1-2 years,Region2,2,2,2,2,,2022-03-22 20:48:39 UTC,/contact/,https://catalog.beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36 Edg/99.0.1150.39"
2023-08-27_17:35:06-117,04307290-6bd1-,4,4,4,Group4,3-4 years,Region3,4,4,4,4,,2022-03-23 09:35:18 UTC,/contact/,https://catalog.beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
2023-08-27_17:35:06-118,d782b6d5-3edd-,5,5,5,Group2,2-3 years,Region4,3,3,3,3,,2022-03-23 16:07:57 UTC,/contact/,https://catalog.beepbeep.gov/,"Mozilla/5.0 (Linux; Android 10; LM-Q720) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.58 Mobile Safari/537.36"
2023-08-27_17:35:06-119,2572f34f-cf82-,4,5,4,Group4,4-5 years,Region5,3,5,3,3,,2022-03-23 17:39:03 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36"
2023-08-27_17:35:06-120,a61f5d22-1cf0-,4,4,5,Group3,1-2 years,Region4,2,3,3,3,,2022-03-23 18:21:19 UTC,/contact/,https://resources.beepbeep.gov/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Safari/605.1.15"
2023-08-27_17:35:06-121,cc8a33be-ab20-,5,5,5,Group3,0-1 years,Region4,1,1,1,3,,2022-03-24 06:38:15 UTC,/contact/,https://catalog.beepbeep.gov/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36"
2023-08-27_17:35:06-122,a1b8ddfe-98a2-,3,5,3,Group3,2-3 years,Region3,1,1,2,3,,2022-03-24 14:17:39 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Linux; Android 12; SM-G991U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.87 Mobile Safari/537.36"
2023-08-27_17:35:06-123,60f7b058-5c27-,4,4,4,Group2,2-3 years,Region4,3,3,3,3,,2022-03-24 18:07:18 UTC,/contact/,https://beepbeep.gov/about/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
2023-08-27_17:35:06-124,613eed21-a55c-,4,3,4,Group3,2-3 years,Region4,3,2,3,2,,2022-03-25 12:56:38 UTC,/contact/,https://api.beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36"
2023-08-27_17:35:06-125,a40619f2-bc43-,5,5,5,Group4,3-4 years,Region4,5,4,4,4,,2022-03-25 21:22:04 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36"
2023-08-27_17:35:06-126,c8f397ae-473b-,3,4,4,Group2,2-3 years,Region3,4,3,4,4,,2022-03-26 08:49:05 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.82 Safari/537.36"
2023-08-27_17:35:06-127,fe300066-9bae-,2,2,2,Group3,1-2 years,Region1,1,2,1,2,,2022-03-26 09:14:39 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
2023-08-27_17:35:06-128,2c9433e0-2131-,4,4,5,Group4,3-4 years,Region5,4,2,4,4,,2022-03-26 09:23:36 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
2023-08-27_17:35:06-129,7ad26aac-b520-,4,3,5,Group4,3-4 years,Region4,3,2,2,4,,2022-03-26 20:22:42 UTC,/contact/,https://catalog.beepbeep.gov/,"Mozilla/5.0 (Linux; Android 11; SM-A125U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.73 Mobile Safari/537.36"
2023-08-27_17:35:06-130,232f0e06-fa3b-,4,3,3,Group2,1-2 years,Region3,2,1,2,2,,2022-03-27 18:09:27 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Linux; Android 11; SM-A315G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.73 Mobile Safari/537.36"
2023-08-27_17:35:06-131,48b7e339-a4b3-,4,4,2,Group2,0-1 years,Region3,1,1,1,2,,2022-03-27 20:34:51 UTC,/contact/,https://catalog.beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
2023-08-27_17:35:06-132,d0c834da-04c3-,4,3,3,Group2,1-2 years,Region3,2,2,2,4,,2022-03-27 20:36:00 UTC,/contact/,https://catalog.beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
2023-08-27_17:35:06-133,0d5bb775-0c12-,4,2,3,Group2,2-3 years,Region3,2,2,2,3,,2022-03-27 23:30:13 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36"
2023-08-27_17:35:06-134,bd41bba4-4447-,4,4,4,Group4,2-3 years,Region5,4,4,5,4,,2022-03-28 12:15:47 UTC,/contact/,https://beepbeep.gov/request/,"Mozilla/5.0 (X11; CrOS armv7l 12105.100.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.144 Safari/537.36"
2023-08-27_17:35:06-135,5f875e73-e6ab-,4,4,4,Group5,3-4 years,Region5,3,4,3,3,,2022-03-28 13:56:12 UTC,/contact/,https://api.beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36"
2023-08-27_17:35:06-136,f30bcddc-6272-,5,4,4,Group3,2-3 years,Region4,3,3,3,4,,2022-03-28 16:54:20 UTC,/contact/,https://catalog.beepbeep.gov/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.83 Safari/537.36"
2023-08-27_17:35:06-137,1e2cf6b6-8b0e-,4,3,4,Group2,2-3 years,Region3,2,2,3,2,,2022-03-28 20:47:09 UTC,/contact/,https://catalog.beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36"
2023-08-27_17:35:06-138,3020de78-b60f-,4,4,4,Group3,2-3 years,Region3,4,4,4,4,,2022-03-29 01:27:35 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36"
2023-08-27_17:35:06-139,0b09521c-a7e9-,4,4,3,Group4,2-3 years,Region3,2,2,2,2,,2022-03-29 03:33:14 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Linux; Android 11; SAMSUNG SM-A326U) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/14.2 Chrome/87.0.4280.141 Mobile Safari/537.36"
2023-08-27_17:35:06-140,82c89281-1462-,5,4,4,Group5,3-4 years,Region5,2,2,2,2,,2022-03-30 18:08:45 UTC,/contact/,https://resources.beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
2023-08-27_17:35:06-141,98ef8bb5-0454-,4,4,4,Group2,1-2 years,Region4,2,2,2,4,,2022-04-01 13:57:32 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36"
2023-08-27_17:35:06-142,b2a5547d-8581-,5,5,5,Group5,4-5 years,Region5,2,4,4,3,,2022-04-02 06:52:41 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Linux; Android 9; SM-J415F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.85 Mobile Safari/537.36"
2023-08-27_17:35:06-143,c6743578-5968-,4,3,3,Group2,1-2 years,Region2,2,2,2,2,,2022-04-02 18:07:31 UTC,/contact/,https://catalog.beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36"
2023-08-27_17:35:06-144,0d7993ce-b849-,4,4,3,Group2,3-4 years,Region4,4,2,2,3,,2022-04-04 02:15:03 UTC,/contact/,https://catalog.beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.60 Safari/537.36"
2023-08-27_17:35:06-145,ce7cd6eb-2735-,4,5,5,Group4,2-3 years,Region4,3,3,3,3,,2022-04-04 13:25:07 UTC,/contact/,https://catalog.beepbeep.gov/,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Mobile/15E148 Safari/604.1"
2023-08-27_17:35:06-146,f27b7b7e-5c1e-,4,5,4,Group3,3-4 years,Region3,2,4,3,5,,2022-04-04 14:42:01 UTC,/contact/,https://resources.beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36 Edg/99.0.1150.55"
2023-08-27_17:35:06-147,3408cd4f-e005-,4,4,4,Group2,3-4 years,Region4,2,2,2,2,,2022-04-04 17:43:57 UTC,/contact/,https://catalog.beepbeep.gov/,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:82.0) Gecko/20100101 Firefox/82.0
2023-08-27_17:35:06-148,4804e62b-3792-,4,3,4,Group3,2-3 years,Region3,4,2,2,3,,2022-04-04 18:24:03 UTC,/contact/,https://www.bing.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.60 Safari/537.36 Edg/100.0.1185.29"
2023-08-27_17:35:06-149,06813e0d-80b7-,5,5,5,Group5,4-5 years,Region5,5,4,4,4,,2022-04-05 12:37:01 UTC,/contact/,https://resources.beepbeep.gov/,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Mobile/15E148 Safari/604.1"
2023-08-27_17:35:06-150,9f0b7e2f-56de-,4,3,3,Group3,2-3 years,Region4,2,2,2,2,,2022-04-05 15:54:58 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36"
2023-08-27_17:35:06-151,38456428-518d-,3,3,4,Group3,2-3 years,Region3,3,4,3,3,,2022-04-05 16:35:15 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.60 Safari/537.36"
2023-08-27_17:35:06-152,fb2fe710-78f9-,4,2,4,Group2,3-4 years,Region4,2,3,2,3,,2022-04-05 18:48:19 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Linux; Android 11; SM-A125U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.88 Mobile Safari/537.36"
2023-08-27_17:35:06-153,f8944da4-7dba-,4,4,4,Group4,2-3 years,Region5,3,5,3,3,,2022-04-05 19:36:09 UTC,/contact/,https://www.nsf.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36"
2023-08-27_17:35:06-154,e01aad28-b678-,4,4,4,Group4,2-3 years,Region4,2,4,2,2,,2022-04-06 10:21:00 UTC,/contact/,https://api.beepbeep.gov/,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Mobile/15E148 Safari/604.1"
2023-08-27_17:35:06-155,96516177-2c4a-,1,1,1,Group3,1-2 years,Region2,2,2,2,2,,2022-04-06 12:34:14 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Linux; Android 12; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.79 Mobile Safari/537.36"
2023-08-27_17:35:06-156,30ad215c-9efa-,4,3,3,Group4,2-3 years,Region3,4,4,4,3,,2022-04-08 12:06:17 UTC,/contact/,https://beepbeep.gov/,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-157,ec54a749-dc13-,4,4,4,Group3,2-3 years,Region3,2,3,3,3,,2022-04-08 18:26:27 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36"
2023-08-27_17:35:06-158,62a76b5e-b825-,4,4,4,Group3,2-3 years,Region3,3,4,4,4,,2022-04-08 20:23:25 UTC,/contact/,https://beepbeep.gov/,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:99.0) Gecko/20100101 Firefox/99.0
2023-08-27_17:35:06-159,0e9613b1-103e-,4,4,4,Group3,3-4 years,Region4,3,4,4,4,,2022-04-08 22:40:37 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36 Edg/99.0.1150.55"
2023-08-27_17:35:06-160,5ed15884-5763-,3,4,3,Group3,2-3 years,Region3,2,2,2,3,,2022-04-10 11:44:22 UTC,/contact/,https://catalog.beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36"
2023-08-27_17:35:06-161,0b87e99b-3f7f-,2,4,2,Group3,2-3 years,Region3,2,2,2,4,,2022-04-11 16:26:49 UTC,/contact/,https://catalog.beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36"
2023-08-27_17:35:06-162,4e46df89-d5d2-,4,5,2,Group1,2-3 years,Region3,2,2,2,3,,2022-04-11 16:28:26 UTC,/contact/,https://catalog.beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36"
2023-08-27_17:35:06-163,b27fda98-a693-,4,4,4,Group3,3-4 years,Region3,2,2,4,4,,2022-04-11 21:34:46 UTC,/contact/,https://resources.beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36"
2023-08-27_17:35:06-164,7f67d30c-4ed0-,4,4,4,Group4,3-4 years,Region4,3,4,4,4,,2022-04-11 23:07:49 UTC,/contact/,https://catalog.beepbeep.gov/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:99.0) Gecko/20100101 Firefox/99.0
2023-08-27_17:35:06-165,a3a6e496-9a61-,4,5,5,Group2,3-4 years,Region4,1,2,3,2,,2022-04-12 18:38:08 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88 Safari/537.36"
2023-08-27_17:35:06-166,71bf5154-47a3-,5,4,5,Group4,3-4 years,Region5,3,4,3,3,,2022-04-13 04:36:33 UTC,/contact/,https://catalog.beepbeep.gov/,"Mozilla/5.0 (Linux; Android 10; V2043) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.99 Mobile Safari/537.36"
2023-08-27_17:35:06-167,43f4d693-68c6-,5,4,4,Group4,3-4 years,Region5,2,2,2,1,,2022-04-13 08:38:27 UTC,/contact/,https://catalog.beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36"
2023-08-27_17:35:06-168,d4803e86-3b43-,4,4,4,Group2,2-3 years,Region3,2,2,2,2,,2022-04-13 20:30:06 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Linux; Android 11; A600DL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.88 Mobile Safari/537.36"
2023-08-27_17:35:06-169,54f47640-e242-,3,4,3,Group3,2-3 years,Region3,2,2,1,1,,2022-04-14 04:58:21 UTC,/contact/,https://catalog.beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88 Safari/537.36"
2023-08-27_17:35:06-170,47f4f689-c547-,4,5,4,Group3,4-5 years,Region5,2,1,2,2,,2022-04-14 13:37:40 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88 Safari/537.36"
2023-08-27_17:35:06-171,92765e6c-2127-,4,4,3,Group3,3-4 years,Region4,2,3,3,4,,2022-04-14 15:13:43 UTC,/contact/,https://catalog.beepbeep.gov/,"Mozilla/5.0 (Linux; Android 10; SM-A205U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88 Mobile Safari/537.36"
2023-08-27_17:35:06-172,c5d5cc43-bfb1-,4,3,3,Group2,1-2 years,Region2,2,2,2,2,,2022-04-14 17:37:20 UTC,/contact/,https://beepbeep.gov/data-policy/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88 Safari/537.36"
2023-08-27_17:35:06-173,f1c244f1-8f39-,4,4,4,Group5,3-4 years,Region4,4,3,3,1,,2022-04-14 20:49:56 UTC,/contact/,https://catalog.beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
2023-08-27_17:35:06-174,ebea6802-c739-,3,4,3,Group3,2-3 years,Region4,2,2,2,2,,2022-04-14 23:54:31 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/16.2 Chrome/92.0.4515.166 Safari/537.36"
2023-08-27_17:35:06-175,e12cf53e-71d2-,4,5,4,Group3,2-3 years,Region3,3,3,3,3,,2022-04-17 22:30:37 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88 Safari/537.36"
2023-08-27_17:35:06-176,08ecd624-8c12-,4,4,4,Group5,3-4 years,Region4,4,5,4,3,,2022-04-17 22:32:21 UTC,/contact/,https://beepbeep.gov/request/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88 Safari/537.36"
